k_subset,classifier_name,language,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
1,aprielguard,Hebrew,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.45454545454545453,,
1,aprielguard,Hindi,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.41818181818181815,,
1,aprielguard,Hungarian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.41818181818181815,,
1,aprielguard,Icelandic,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.7307692307692307,,
1,aprielguard,Igbo,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.8615384615384616,,
1,aprielguard,Indonesian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.43636363636363634,,
1,aprielguard,Irish,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.7090909090909091,,
1,aprielguard,Italian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.34545454545454546,,
1,aprielguard,Japanese,49.0,49.0,1.0,49.0,0.0,1.0,0.0,0.0,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.3469387755102041,,
1,aprielguard,Javanese,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.5849056603773585,,
1,aprielguard,Kannada,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.4727272727272727,,
1,aprielguard,Kazakh,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.40384615384615385,0.40384615384615385,0.40384615384615385,0.5961538461538461,,
1,aprielguard,Khmer,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.8703703703703703,,
1,aprielguard,Korean,51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.37254901960784315,,
1,aprielguard,Kyrgyz,51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.27450980392156865,0.27450980392156865,0.27450980392156865,0.7254901960784313,,
1,aprielguard,Lao,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231,,
1,aprielguard,Latvian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.2641509433962264,0.2641509433962264,0.2641509433962264,0.7358490566037735,,
1,aprielguard,Lingala,66.0,66.0,1.0,66.0,0.0,1.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.9393939393939394,,
1,aprielguard,Lithuanian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.6296296296296297,,
1,aprielguard,Luo,62.0,62.0,1.0,62.0,0.0,1.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.8709677419354839,,
1,aprielguard,Luxembourgish,71.0,71.0,1.0,71.0,0.0,1.0,0.0,0.0,0.4647887323943662,0.4647887323943662,0.4647887323943662,0.5352112676056338,,
1,aprielguard,Macedonian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.49056603773584906,,
1,aprielguard,Malay,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.43636363636363634,,
1,aprielguard,Malayalam,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.4339622641509434,,
1,aprielguard,Maltese,71.0,71.0,1.0,71.0,0.0,1.0,0.0,0.0,0.39436619718309857,0.39436619718309857,0.39436619718309857,0.6056338028169014,,
1,aprielguard,Maori,67.0,67.0,1.0,67.0,0.0,1.0,0.0,0.0,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.9552238805970149,,
1,aprielguard,Marathi,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.5094339622641509,,
1,aprielguard,Mongolian,49.0,49.0,1.0,49.0,0.0,1.0,0.0,0.0,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.8979591836734694,,
1,aprielguard,Nepali,57.0,57.0,1.0,57.0,0.0,1.0,0.0,0.0,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.43859649122807015,,
1,aprielguard,Northern Sotho,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231,,
1,aprielguard,Norwegian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.5471698113207547,,
1,aprielguard,Nyanja,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.9538461538461539,,
1,aprielguard,Occitan,72.0,72.0,1.0,72.0,0.0,1.0,0.0,0.0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4583333333333333,,
1,aprielguard,Oriya (Odia),69.0,69.0,1.0,69.0,0.0,1.0,0.0,0.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.9710144927536232,,
1,aprielguard,Oromo,28.0,28.0,1.0,28.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.9642857142857143,,
1,aprielguard,Pashto,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185,,
1,aprielguard,Persian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.4074074074074074,,
1,aprielguard,Polish,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.3148148148148148,,
1,aprielguard,Portuguese,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,,
1,aprielguard,Punjabi,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.509090909090909,0.509090909090909,0.509090909090909,0.4909090909090909,,
1,aprielguard,Romanian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.3148148148148148,,
1,aprielguard,Russian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.42592592592592593,,
1,aprielguard,Serbian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,,
1,aprielguard,Shona,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.8923076923076924,,
1,aprielguard,Sindhi,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.2830188679245283,0.2830188679245283,0.2830188679245283,0.7169811320754716,,
1,aprielguard,Slovak,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,,
1,aprielguard,Slovenian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,,
1,aprielguard,Somali,39.0,39.0,1.0,39.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231,,
1,aprielguard,Sorani Kurdish,70.0,70.0,1.0,70.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.8,,
1,aprielguard,Spanish,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.34545454545454546,,
1,aprielguard,Swahili,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.8113207547169812,,
1,aprielguard,Swedish,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6909090909090909,0.6909090909090909,0.6909090909090909,0.3090909090909091,,
1,aprielguard,Tajik,68.0,68.0,1.0,68.0,0.0,1.0,0.0,0.0,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.8382352941176471,,
1,aprielguard,Tamil,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.509090909090909,0.509090909090909,0.509090909090909,0.4909090909090909,,
1,aprielguard,Telugu,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.4423076923076923,,
1,aprielguard,Thai,51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.27450980392156865,,
1,aprielguard,Turkish,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.46296296296296297,,
1,aprielguard,Ukrainian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.43636363636363634,,
1,aprielguard,Urdu,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.48148148148148145,,
1,aprielguard,Vietnamese,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.43636363636363634,,
1,aprielguard,Welsh,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.8518518518518519,,
1,aprielguard,Wolof,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.7818181818181819,,
1,aprielguard,Xhosa,33.0,33.0,1.0,33.0,0.0,1.0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.8484848484848485,,
1,aprielguard,Yoruba,63.0,63.0,1.0,63.0,0.0,1.0,0.0,0.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.9682539682539683,,
1,aprielguard,Zulu,69.0,69.0,1.0,69.0,0.0,1.0,0.0,0.0,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.8260869565217391,,
1,crest,Afrikaans,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7818181818181819,0.7818181818181819,0.7818181818181819,0.21818181818181817,,
1,crest,Amharic,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.20754716981132076,,
1,crest,Arabic,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7636363636363637,0.7636363636363637,0.7636363636363637,0.23636363636363636,,
1,crest,Armenian,56.0,56.0,1.0,56.0,0.0,1.0,0.0,0.0,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.16071428571428573,,
1,crest,Assamese,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.7884615384615384,0.7884615384615384,0.7884615384615384,0.21153846153846154,,
1,crest,Asturian,71.0,71.0,1.0,71.0,0.0,1.0,0.0,0.0,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.19718309859154928,,
1,crest,Azerbaijani,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,,
1,crest,Belarusian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.25925925925925924,,
1,crest,Bengali,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.8679245283018868,0.8679245283018868,0.8679245283018868,0.1320754716981132,,
1,crest,Bosnian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,,
1,crest,Bulgarian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.2962962962962963,,
1,crest,Burmese,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.09615384615384616,,
1,crest,Catalan,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6909090909090909,0.6909090909090909,0.6909090909090909,0.3090909090909091,,
1,crest,Cebuano,70.0,70.0,1.0,70.0,0.0,1.0,0.0,0.0,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.12857142857142856,,
1,crest,Chinese (Simplified),51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.2549019607843137,,
1,crest,Chinese (Traditional),48.0,48.0,1.0,48.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,,
1,crest,Croatian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.2909090909090909,,
1,crest,Czech,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8,0.8,0.8,0.2,,
1,crest,Danish,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.2909090909090909,,
1,crest,Dutch,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,,
1,crest,English,25.0,25.0,1.0,25.0,0.0,1.0,0.0,0.0,0.64,0.64,0.64,0.36,,
1,crest,Estonian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182,,
1,crest,Filipino (Tagalog),55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8,0.8,0.8,0.2,,
1,crest,Finnish,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,,
1,crest,French,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,,
1,crest,Fula,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,,
1,crest,Galician,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7636363636363637,0.7636363636363637,0.7636363636363637,0.23636363636363636,,
