k_subset,classifier_name,n_languages,macro_language_recall,median_language_recall,sd_language_recall,worst_language,worst_language_recall,best_language,best_language_recall,bottom10_language_recall,language_gap
1,aprielguard,98,0.4128468771493324,0.4771043771043771,0.2079420243058989,Amharic,0.0,Armenian,0.7321428571428571,0.04107050135927488,0.7321428571428571
1,crest,98,0.7399797874000421,0.7664335664335664,0.11916829603551479,Tajik,0.14705882352941177,Burmese,0.9038461538461539,0.47440764911059163,0.7567873303167421
1,guardreasoner,98,0.4124553293126683,0.32075471698113206,0.27363467148184,Spanish,0.03636363636363636,Zulu,0.927536231884058,0.09212000214796404,0.8911725955204216
1,wildguard,98,0.972725739228197,1.0,0.0750855814553428,English,0.4,Amharic,1.0,0.8096873496873498,0.6
1,xguard,98,0.4140081049914235,0.4074074074074074,0.2032491255756922,Xhosa,0.06060606060606061,English,0.88,0.11167524694185893,0.8193939393939393
