ensemble,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
any_unsafe,5403.0,1199.0,98.0,5403.0,0.0,1.0,0.0,0.0,0.9994447529150472,0.9994447529150472,0.9994447529150472,0.000555247084952804,,
majority_vote,5403.0,1199.0,98.0,5403.0,0.0,0.8684064408661855,0.13159355913381454,0.0,0.6614843605404405,0.6614843605404405,0.7617220801364024,0.3385156394595595,,
unanimous_unsafe,5403.0,1199.0,98.0,5403.0,0.0,1.0,0.0,0.0,0.20951323338885805,0.20951323338885805,0.20951323338885805,0.7904867666111419,,
