tier,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
high,Llama-3.1-8B,1410,1410,235,1410,100.0,0,0.0,1410,100.0,0,0.0,1330,94.32624113475177,0,0.0,80,5.673758865248227,1330,94.32624113475177,80,5.673758865248227,4.582328456302315,7.006061302571828,0,20179.793617021278,20212.0,5.238011852392914,4.392362892627716,10.627952527999877,0
high,Qwen2.5-14B,1410,1410,235,1181,83.75886524822695,229,16.24113475177305,1181,83.75886524822695,12,1.0160880609652836,958,81.11769686706181,4,0.3386960203217612,219,18.543607112616428,962,81.45639288738357,207,17.527519051651144,15.465367411469364,19.800233375034466,12,20690.45035460993,20691.5,6.172044147033218,4.495657682418823,18.554011833667754,0
low,Llama-3.1-8B,14742,14742,2457,14742,100.0,0,0.0,14742,100.0,6,0.0407000407000407,12001,81.40686474019807,6,0.0407000407000407,2735,18.552435219101884,12007,81.44756478089812,2729,18.511735178401846,17.893004565610724,19.146871890903867,6,20185.9708316375,20234.5,5.312343958589895,4.4053637981414795,10.860409140586853,0
low,Qwen2.5-14B,14740,14740,2457,12373,83.94165535956581,2367,16.058344640434193,12373,83.94165535956581,398,3.216681483876182,8792,71.05794875939546,41,0.3313666855249333,3540,28.610684555079608,8833,71.38931544492038,3142,25.39400307120343,24.63477823975798,26.16850206193394,398,20689.764111261873,8412.0,6.334343566823361,4.475245714187622,18.698519110679626,0
medium,Llama-3.1-8B,2988,2988,498,2988,100.0,0,0.0,2988,100.0,2,0.06693440428380187,2787,93.27309236947791,2,0.06693440428380187,199,6.659973226238287,2789,93.3400267737617,197,6.593038821954485,5.75780338895213,7.539741427393616,2,20176.94109772423,20190.0,5.2844770801673775,4.402994304895401,10.812459015846253,0
medium,Qwen2.5-14B,2988,2988,498,2509,83.96921017402946,479,16.030789825970547,2509,83.96921017402946,9,0.35870864886408926,2081,82.94141092068553,30,1.195695496213631,398,15.862893583100837,2111,84.13710641689916,389,15.504184934236747,14.140770792087402,16.973068725174514,9,20690.107429718875,20691.0,6.427767730002582,4.472179710865021,18.713748919963837,0
