language,n_total_rows,n_valid_inference,inference_success_pct,n_scorable,scorable_pct,n_restricted_tool_selection,restricted_tool_selection_pct,ci95_low,ci95_high,risk_rank,risk_group,distance_from_median,global_median_risk_pct
Ukrainian,288,266,92.36111111111111,266,92.36111111111111,16,6.015037593984962,3.736035835236478,9.546377837345343,97,Lowest-risk,,15.111683734095248
Vietnamese,288,265,92.01388888888889,265,92.01388888888889,16,6.037735849056604,3.750263633671316,9.581556160015662,96,Lowest-risk,,15.111683734095248
Danish,408,376,92.15686274509804,376,92.15686274509804,23,6.117021276595745,4.110338003122044,9.011309901095283,95,Lowest-risk,,15.111683734095248
Swedish,204,189,92.6470588235294,189,92.6470588235294,12,6.349206349206349,3.6689732951979264,10.768512809167934,94,Lowest-risk,,15.111683734095248
Chinese (Simplified),264,243,92.04545454545455,243,92.04545454545455,16,6.584362139917696,4.09320380987282,10.426828194446761,93,Lowest-risk,,15.111683734095248
Indonesian,288,264,91.66666666666667,264,91.66666666666667,18,6.818181818181818,4.3560053197788955,10.519010294351961,92,Lowest-risk,,15.111683734095248
Finnish,336,311,92.55952380952381,311,92.55952380952381,22,7.07395498392283,4.717625956318307,10.477786680852962,91,Lowest-risk,,15.111683734095248
Japanese,204,187,91.66666666666667,187,91.66666666666667,14,7.4866310160427805,4.511723060861856,12.173047123488336,90,Lowest-risk,,15.111683734095248
Nepali,300,275,91.66666666666667,275,91.66666666666667,21,7.636363636363637,5.0486320973741465,11.391340284986672,89,Lowest-risk,,15.111683734095248
Hungarian,276,253,91.66666666666667,253,91.66666666666667,20,7.905138339920948,5.17540361586353,11.894059788524261,88,Lowest-risk,,15.111683734095248
Chinese (Traditional),240,221,92.08333333333333,221,92.08333333333333,18,8.144796380090497,5.2138724552875475,12.505928434488197,87,Lowest-risk,,15.111683734095248
Russian,276,254,92.02898550724638,254,92.02898550724638,21,8.26771653543307,5.47100689354509,12.307925567651074,86,Lowest-risk,,15.111683734095248
Turkish,300,275,91.66666666666667,275,91.66666666666667,23,8.363636363636363,5.637616786837652,12.236862507413965,85,Lowest-risk,,15.111683734095248
Czech,312,286,91.66666666666667,286,91.66666666666667,26,9.090909090909092,6.279388289195005,12.986819881265376,83,Lowest-risk,,15.111683734095248
Portuguese,240,220,91.66666666666667,220,91.66666666666667,20,9.090909090909092,5.962049253575119,13.623892980572341,84,Lowest-risk,,15.111683734095248
Greek,324,299,92.28395061728395,299,92.28395061728395,28,9.364548494983278,6.558556658022504,13.201438903260588,82,Lowest-risk,,15.111683734095248
Slovak,360,333,92.5,333,92.5,32,9.60960960960961,6.889326568738651,13.251145170759182,81,Lowest-risk,,15.111683734095248
Serbian,360,331,91.94444444444444,331,91.94444444444444,32,9.667673716012084,6.931471241763434,13.329299052223034,80,Lowest-risk,,15.111683734095248
Filipino (Tagalog),312,288,92.3076923076923,288,92.3076923076923,28,9.722222222222221,6.812318764515914,13.692464573159357,79,Lowest-risk,,15.111683734095248
