quality_bucket,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
gold,Llama-3.1-8B,1380,1380,230,1380,100.0,0,0.0,1380,100.0,1,0.07246376811594203,1074,77.82608695652173,0,0.0,306,22.17391304347826,1074,77.82608695652173,305,22.10144927536232,19.9913724704538,24.36641540387453,305,22.10144927536232,1,20181.978260869564,20200.5,5.324787418220354,4.410419434309006,10.865258091688156
gold,Qwen2.5-14B,1380,1380,230,1153,83.55072463768116,227,16.44927536231884,1153,83.55072463768116,49,4.24978317432784,800,69.38421509106678,1,0.08673026886383348,352,30.529054640069383,801,69.47094535993061,303,26.279271465741544,23.820446589554944,28.8956325387275,303,26.279271465741544,49,20692.00579710145,20693.0,6.247581803885059,4.478062689304352,18.805055987834915
high_quality,Llama-3.1-8B,5076,5076,846,5076,100.0,0,0.0,5076,100.0,2,0.039401103230890466,4450,87.66745468873128,7,0.13790386130811663,619,12.1946414499606,4457,87.8053585500394,617,12.155240346729709,11.284811202932554,13.082907137396596,617,12.155240346729709,2,20184.307722616235,20208.5,5.291921429412397,4.402922660112381,10.783697634935379
high_quality,Qwen2.5-14B,5076,5076,846,4261,83.94405043341213,815,16.055949566587863,4261,83.94405043341213,89,2.088711570053978,3299,77.42314010795587,36,0.8448720957521708,926,21.73198779629195,3335,78.26801220370805,837,19.643276226237973,18.477925788167724,20.863312919557828,837,19.643276226237973,89,20691.15780141844,20692.0,6.335619722686009,4.471138417720795,18.669053375720978
low_quality,Llama-3.1-8B,6414,6414,1069,6414,100.0,0,0.0,6414,100.0,1,0.015590894917368257,5341,83.27096975366386,1,0.015590894917368257,1072,16.71343935141877,5342,83.28656064858123,1071,16.697848456501404,15.805107993975422,17.630455545405024,1071,16.697848456501404,1,20184.139226691612,20227.0,5.3119239591440754,4.395263433456421,10.912402707338332
low_quality,Qwen2.5-14B,6413,6413,1069,5387,84.00124746608452,1026,15.998752533915484,5387,84.00124746608452,144,2.6731019120103956,3832,71.13421199183219,17,0.31557453127900503,1538,28.550213476888807,3849,71.4497865231112,1394,25.877111564878412,24.725068955542547,27.06353362434932,1394,25.877111564878412,144,20689.081864961798,8412.0,6.360373543518188,4.477084398269653,18.671846413612364
standard_quality,Llama-3.1-8B,6270,6270,1045,6270,100.0,0,0.0,6270,100.0,4,0.06379585326953748,5253,83.77990430622009,0,0.0,1017,16.220095693779903,5253,83.77990430622009,1013,16.156299840510368,15.266061046310758,17.08798347559603,1013,16.156299840510368,4,20184.37735247209,20222.5,5.296572372911459,4.406879812479019,10.793627929687496
standard_quality,Qwen2.5-14B,6269,6269,1045,5262,83.93683203062689,1007,16.063167969373104,5262,83.93683203062689,137,2.603572786012923,3900,74.11630558722919,21,0.3990877993158495,1341,25.48460661345496,3921,74.51539338654504,1204,22.88103382744204,21.766071321865066,24.035563187671332,1204,22.88103382744204,137,20689.158079438508,8411.0,6.33380639069121,4.481037020683289,18.703377032279967
