quality_bucket,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
gold,2760,2760,230,2533,91.77536231884058,227,8.22463768115942,2533,91.77536231884058,50,1.9739439399921042,1874,73.98341887090406,1,0.03947887879984208,658,25.97710225029609,1875,74.02289774970392,608,24.003158310303988,22.380049270095892,25.704999741511,50,20436.992028985507,20249.0,5.786184611052707,4.4478689432144165,18.471312099695204,0
high_quality,10152,10152,846,9337,91.97202521670607,815,8.027974783293931,9337,91.97202521670607,91,0.9746171147049374,7749,82.99239584448966,43,0.4605333618935418,1545,16.547070793616793,7792,83.4529292063832,1454,15.572453678911856,14.851157001173798,16.322067291922405,91,20437.73276201734,20237.5,5.813770576049203,4.450128614902496,18.449792212247846,0
low_quality,12827,12827,1069,11801,92.00124736883137,1026,7.998752631168629,11801,92.00124736883137,145,1.2287094314041183,9173,77.7307007880688,18,0.15252944665706297,2610,22.116769765274128,9191,77.88323023472587,2465,20.888060333870012,20.16416176666099,21.630905757385086,145,20436.59086302331,8412.0,5.836107882476981,4.451860427856445,18.41173050403595,0
standard_quality,12539,12539,1045,11532,91.96905654358402,1007,8.030943456415983,11532,91.96905654358402,141,1.222684703433923,9153,79.37044745057231,21,0.18210197710718,2358,20.4474505723205,9174,79.5525494276795,2217,19.224765868886575,18.51583476236257,19.954193407341258,141,20436.747587526916,8411.0,5.815148021484811,4.45412802696228,18.39143053293228,0
