context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
32k,19138,19138,3190,16063,83.93249033336816,3075,16.067509666631832,16063,83.93249033336816,276,1.718234451845857,12778,79.54927473074768,68,0.4233331258170952,3217,20.027392143435225,12846,79.97260785656478,2941,18.309157691589366,17.718683255343027,18.91478620351797,2941,18.309157691589366,276,32563.278608005017,32366.0,8.130619401467833,8.534629762172699,19.546928387880318
8k,19140,19140,3190,19140,100.0,0,0.0,19140,100.0,151,0.7889237199582028,15171,79.26332288401254,15,0.07836990595611286,3954,20.65830721003135,15186,79.34169278996865,3803,19.869383490073144,19.310167537283817,20.440691636878388,3803,19.869383490073144,151,8311.936468129572,8393.0,3.5090580542944565,3.7995423078536987,5.72650992274284
