decision_parse_source,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
json,Llama-3.1-8B,19134,19134,3190,19134,100.0,0,0.0,19134,100.0,6,0.03135779241141424,16114,84.21657781958817,8,0.04181038988188565,3012,15.741611790529946,16122,84.25838820947006,3006,15.710253998118532,15.201529260784197,16.232744409865173,3006,15.710253998118532,6,20184.09992683182,20224.5,5.3019936915050545,4.403580904006958,10.834108066558834
json,Qwen2.5-14B,16057,16057,3190,16057,100.0,0,0.0,16057,100.0,418,2.60322600734882,11826,73.65012144236158,75,0.4670860061032571,4156,25.882792551535157,11901,74.11720744846484,3738,23.279566544186338,22.632334058281497,23.93958110568227,3738,23.279566544186338,418,18333.73855639285,8407.0,7.523585672447436,4.628290891647339,18.96735656261444
text_fallback,Llama-3.1-8B,6,6,6,6,100.0,0,0.0,6,100.0,2,33.333333333333336,4,66.66666666666667,0,0.0,2,33.333333333333336,4,66.66666666666667,0,0.0,2.7755575615628914e-15,39.033428790216526,0,0.0,2,20203.833333333332,20173.5,6.973595281442006,4.999288201332092,14.821207195520401
text_fallback,Qwen2.5-14B,3081,3081,3075,6,0.19474196689386564,3075,99.80525803310613,6,0.19474196689386564,1,16.666666666666668,5,83.33333333333333,0,0.0,1,16.666666666666668,5,83.33333333333333,0,0.0,2.7755575615628914e-15,39.033428790216526,0,0.0,1,32969.12009087959,32977.0,0.15279495522636208,0.11624598503112793,0.12774360179901123
