agent_name,agent_model,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,19140,19140,3190,19140,100.0,0,0.0,19140,100.0,8,0.04179728317659352,16118,84.2110762800418,8,0.04179728317659352,3014,15.74712643678161,16126,84.25287356321839,3006,15.705329153605016,15.196749795141692,16.22767184855533,3006,15.705329153605016,8,20184.106112852664,20224.5,5.302517704542653,4.403652548789978,10.835776805877686
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,19138,19138,3190,16063,83.93249033336816,3075,16.067509666631832,16063,83.93249033336816,419,2.6084791134906307,11831,73.6537384050302,75,0.4669115358276785,4157,25.879350059142126,11906,74.12064994085787,3738,23.2708709456515,22.623845227231854,23.930678124427057,3738,23.2708709456515,419,20689.868272546766,8412.0,6.33697232728294,4.476807594299316,18.683270937204355
