agent_name,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Llama-3.1-8B,32k,9570,9570,3190,9570,100.0,0,0.0,9570,100.0,8,0.08359456635318704,8080,84.43051201671891,4,0.04179728317659352,1486,15.527690700104493,8084,84.47230929989551,1478,15.444096133751307,14.73396272412259,16.181960330919182,8,32149.67063740857,32132.0,7.665612615138884,4.900128245353699,15.5793377161026,0
Llama-3.1-8B,8k,9570,9570,3190,9570,100.0,0,0.0,9570,100.0,0,0.0,8038,83.99164054336468,4,0.04179728317659352,1528,15.966562173458724,8042,84.03343782654127,1528,15.966562173458724,15.246360066308423,16.71407579406988,0,8218.54158829676,8211.0,2.9394227939464206,3.002505660057068,4.152802109718323,0
Qwen2.5-14B,32k,9568,9568,3190,6493,67.8616220735786,3075,32.138377926421406,6493,67.8616220735786,268,4.127521946711844,4698,72.35484367780687,64,0.9856768827968582,1731,26.65947943939627,4762,73.34052056060372,1463,22.53195749268443,21.532153220771498,23.564244427086738,268,32976.97303511706,32977.0,8.595723388211983,8.622748374938965,19.951755136251446,0
Qwen2.5-14B,8k,9570,9570,3190,9570,100.0,0,0.0,9570,100.0,151,1.5778474399164055,7133,74.5350052246604,11,0.11494252873563218,2426,25.35005224660397,7144,74.64994775339603,2275,23.772204806687565,22.92996340593502,24.63549376617107,151,8405.331347962383,8405.0,4.078693314642493,4.38356077671051,6.110520005226135,0
