tier,context_length_name,unsafe_prompt_position,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
high,32k,beginning,470,470,235,470,100.0,0,0.0,470,100.0,5,1.0638297872340425,388,82.55319148936171,4,0.851063829787234,78,16.595744680851062,392,83.40425531914893,73,15.53191489361702,12.538102902219903,19.08459621609331,73,15.53191489361702,5,32560.91063829787,32606.0,6.857766275456611,4.785437852144241,10.495769339799882
high,32k,end,470,470,235,470,100.0,0,0.0,470,100.0,2,0.425531914893617,436,92.76595744680851,0,0.0,34,7.23404255319149,436,92.76595744680851,32,6.808510638297872,4.863781457038658,9.453551388748894,32,6.808510638297872,2,32562.872340425532,32606.5,13.123905436536099,10.453636527061462,19.805123364925382
high,32k,middle,470,470,235,241,51.276595744680854,229,48.723404255319146,241,51.276595744680854,0,0.0,226,93.7759336099585,0,0.0,15,6.224066390041494,226,93.7759336099585,15,6.224066390041494,3.807792536208899,10.013991970261227,15,6.224066390041494,0,32558.77234042553,32628.0,3.5764853538350856,4.665135622024536,10.376961290836334
high,8k,beginning,470,470,235,470,100.0,0,0.0,470,100.0,0,0.0,395,84.04255319148936,0,0.0,75,15.957446808510639,395,84.04255319148936,75,15.957446808510639,12.924568366545962,19.54229496018314,75,15.957446808510639,0,8309.07659574468,8357.5,3.311169530356184,3.084093302488327,4.279356056451797
high,8k,end,470,470,235,470,100.0,0,0.0,470,100.0,1,0.2127659574468085,433,92.12765957446808,0,0.0,37,7.872340425531915,433,92.12765957446808,36,7.659574468085107,5.583770781999228,10.421890480620094,36,7.659574468085107,1,8309.22340425532,8356.5,3.3912404823810496,3.0094335079193115,5.964502727985382
high,8k,middle,470,470,235,470,100.0,0,0.0,470,100.0,4,0.851063829787234,410,87.23404255319149,0,0.0,60,12.76595744680851,410,87.23404255319149,56,11.914893617021276,9.290413549346605,15.15688979743158,56,11.914893617021276,4,8309.876595744681,8337.5,3.9696009197133653,3.960486590862274,6.150915449857711
low,32k,beginning,4914,4914,2457,4914,100.0,0,0.0,4914,100.0,182,3.7037037037037037,3773,76.78062678062678,34,0.6919006919006919,1107,22.52747252747253,3807,77.47252747252747,925,18.823768823768823,17.755332139504883,19.940910700849876,925,18.823768823768823,182,32564.7733007733,32635.0,7.0563788724518135,4.804184198379517,10.553566288948058
low,32k,end,4914,4914,2457,4914,100.0,0,0.0,4914,100.0,65,1.3227513227513228,3923,79.83312983312983,3,0.06105006105006105,988,20.105820105820104,3926,79.8941798941799,923,18.78306878306878,17.71557114289184,19.89933519986547,923,18.78306878306878,65,32564.459096459097,32631.0,13.63146266652939,10.560684323310852,20.36917819976806
low,32k,middle,4912,4912,2457,2545,51.81188925081433,2367,48.18811074918567,2545,51.81188925081433,16,0.6286836935166994,1811,71.15913555992141,1,0.03929273084479371,733,28.80157170923379,1812,71.1984282907662,717,28.172888015717092,26.459103478499408,29.95246554415603,717,28.172888015717092,16,32563.882736156353,32366.0,3.712170917601461,4.68216860294342,14.7456628203392
low,8k,beginning,4914,4914,2457,4914,100.0,0,0.0,4914,100.0,22,0.4477004477004477,3860,78.55107855107855,3,0.06105006105006105,1051,21.38787138787139,3863,78.61212861212861,1029,20.94017094017094,19.825464709554037,22.100276005868025,1029,20.94017094017094,22,8313.064916564917,8381.0,3.278831946058976,3.089772045612335,4.298194581270218
