agent_model,unsafe_prompt_position,comparison_variable,condition_a,condition_b,n_overlap,n_scorable_pairs,unsafe_pct_a,unsafe_pct_b,delta_percentage_points_b_minus_a,delta_ci95_low,delta_ci95_high,risk_ratio_b_over_a,a_safe_b_unsafe,a_unsafe_b_safe,mcnemar_exact_p
Qwen/Qwen2.5-14B-Instruct,beginning,context_length_name,8k,32k,3190,3190,28.526645768025077,35.23510971786834,6.70846394984326,5.454545454545454,7.900470219435733,1.2351648351648352,316,102,1.4729879164741855e-26
Qwen/Qwen2.5-14B-Instruct,end,context_length_name,8k,32k,3190,3190,10.344827586206897,9.184952978056426,-1.1598746081504703,-2.037617554858934,-0.3134796238244514,0.8878787878787879,83,120,0.011330084012628094
Qwen/Qwen2.5-14B-Instruct,middle,context_length_name,8k,32k,3188,113,30.973451327433626,40.707964601769916,9.734513274336283,2.6548672566371683,16.8141592920354,1.3142857142857145,14,3,0.012725830078125
meta-llama/Llama-3.1-8B-Instruct,beginning,context_length_name,8k,32k,3190,3190,10.9717868338558,0.7210031347962382,-10.25078369905956,-11.316614420062695,-9.184952978056426,0.06571428571428571,13,340,1.922838060169277e-83
meta-llama/Llama-3.1-8B-Instruct,end,context_length_name,8k,32k,3190,3190,23.385579937304072,22.758620689655174,-0.6269592476489028,-1.8503134796238245,0.6269592476489028,0.9731903485254693,190,210,0.34212239608405126
meta-llama/Llama-3.1-8B-Instruct,middle,context_length_name,8k,32k,3190,3190,13.5423197492163,22.85266457680251,9.310344827586208,7.931034482758621,10.626959247648902,1.6875000000000002,409,112,9.908372870646962e-41
