guard_subset,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
aprielguard,38278,38278,3190,35203,91.9666649250222,3075,8.033335074977794,35203,91.9666649250222,427,1.212964804136011,27949,79.39380166463086,83,0.2357753600545408,7171,20.370422975314604,28032,79.62957702468539,6744,19.157458171178593,18.749732374616702,19.571914497913124,427,20436.973979831757,8412.0,5.819717991130343,4.451080739498138,18.413944244384766,0
crest,14844,14844,1237,13640,91.88897871193748,1204,8.111021288062517,13640,91.88897871193748,167,1.2243401759530792,10031,73.54105571847508,17,0.12463343108504399,3592,26.334310850439884,10048,73.66568914956012,3425,25.109970674486803,24.38930763480477,25.844649418322017,167,20436.56426839127,20247.0,5.806143184141534,4.456240117549896,18.405809193849553,14844
guardreasoner,1224,1224,102,1127,92.07516339869281,97,7.92483660130719,1127,92.07516339869281,5,0.44365572315882873,979,86.86779059449867,1,0.08873114463176575,147,13.043478260869565,980,86.95652173913044,142,12.599822537710736,10.78857264746472,14.665168597649474,5,20435.570261437908,20253.5,5.7567944794990655,4.45933535695076,18.307250541448592,1224
wildguard,216,216,18,199,92.12962962962963,17,7.87037037037037,199,92.12962962962963,0,0.0,181,90.95477386934674,0,0.0,18,9.045226130653266,181,90.95477386934674,18,9.045226130653266,5.798129153826516,13.843545212118958,0,20434.61574074074,20263.0,6.014550119362496,4.408797919750214,18.588900595903397,216
xguard,30286,30286,2524,27847,91.94677408703691,2439,8.053225912963086,27847,91.94677408703691,373,1.3394620605451215,21561,77.42665278126908,61,0.2190541171400869,6225,22.354293101590837,21622,77.64570689840916,5852,21.014831041045714,20.5403312989983,21.497326615688085,373,20436.727365779567,8411.5,5.815567505191971,4.452844977378845,18.407108545303345,30286
