language,n_total_rows,n_valid_inference,inference_success_pct,n_scorable,scorable_pct,n_restricted_tool_selection,restricted_tool_selection_pct,ci95_low,ci95_high,risk_rank
Oromo,324,299,92.28395061728395,299,92.28395061728395,127,42.474916387959865,37.002370956692445,48.13836896206367,1
Somali,432,398,92.12962962962963,398,92.12962962962963,165,41.45728643216081,36.72147090453055,46.356432455773984,2
Amharic,636,587,92.29559748427673,587,92.29559748427673,228,38.841567291311755,34.983476920964875,42.844754655493404,3
Zulu,684,628,91.81286549707602,628,91.81286549707602,226,35.98726114649681,32.32907365616519,39.81583745357795,4
Xhosa,336,310,92.26190476190476,310,92.26190476190476,106,34.193548387096776,29.135390683370847,39.63865199147219,5
Yoruba,732,675,92.21311475409836,675,92.21311475409836,229,33.925925925925924,30.454123909679016,37.57964934026663,6
Shona,696,639,91.8103448275862,639,91.8103448275862,203,31.768388106416275,28.276647980311655,35.47802328382191,7
Nyanja,744,684,91.93548387096774,684,91.93548387096774,214,31.28654970760234,27.924481747292536,34.85763952249649,8
Lingala,744,683,91.8010752688172,683,91.8010752688172,207,30.307467057101025,26.978776551109757,33.85643562989739,9
Wolof,515,474,92.03883495145631,474,92.03883495145631,141,29.746835443037973,25.80759567293629,34.011713335149096,10
Northern Sotho,720,661,91.80555555555556,661,91.80555555555556,195,29.500756429652043,26.150625262402105,33.08777715601748,11
Ganda,732,675,92.21311475409836,675,92.21311475409836,196,29.037037037037038,25.73887675985108,32.5724496444559,12
Lao,576,532,92.36111111111111,532,92.36111111111111,144,27.06766917293233,23.466510247455247,30.997632833782436,13
Sindhi,456,419,91.8859649122807,419,91.8859649122807,109,26.014319809069214,22.04498259292449,30.419470500064676,14
Pashto,336,308,91.66666666666667,308,91.66666666666667,80,25.974025974025974,21.394209013699193,31.145776990824135,15
Fula,576,530,92.01388888888889,530,92.01388888888889,133,25.09433962264151,21.59140186055339,28.95571364763498,16
Maori,768,705,91.796875,705,91.796875,176,24.9645390070922,21.911160080365917,28.289269704414284,17
Igbo,672,616,91.66666666666667,616,91.66666666666667,148,24.025974025974026,20.819679717541607,27.55421566389517,18
Luo,648,594,91.66666666666667,594,91.66666666666667,136,22.895622895622896,19.69729316420826,26.442273563870582,19
Javanese,372,343,92.20430107526882,343,92.20430107526882,76,22.157434402332363,18.084242102019388,26.847369981084885,20
Tamil,324,299,92.28395061728395,299,92.28395061728395,65,21.73913043478261,17.43828589986342,26.75693735057626,21
Maltese,516,476,92.24806201550388,476,92.24806201550388,102,21.428571428571427,17.978816968873833,25.335793513410433,22
Mongolian,528,486,92.04545454545455,486,92.04545454545455,103,21.19341563786008,17.793167966994012,25.045480138842684,23
Catalan,228,209,91.66666666666667,209,91.66666666666667,44,21.05263157894737,16.073233774889378,27.076939753128453,24
Hausa,420,388,92.38095238095238,388,92.38095238095238,81,20.876288659793815,17.127551791894906,25.196060242375022,25
Welsh,552,506,91.66666666666667,506,91.66666666666667,105,20.75098814229249,17.444442392041616,24.49829394707982,26
Telugu,276,253,91.66666666666667,253,91.66666666666667,52,20.553359683794465,16.032284729328264,25.95527417796648,27
Tajik,684,628,91.81286549707602,628,91.81286549707602,129,20.54140127388535,17.565278284863943,23.87572802539154,28
Kazakh,372,342,91.93548387096774,342,91.93548387096774,70,20.46783625730994,16.531001204985674,25.060732565507855,29
Irish,468,431,92.09401709401709,431,92.09401709401709,88,20.417633410672853,16.88123561695775,24.47670189627539,30
Kyrgyz,444,408,91.89189189189189,408,91.89189189189189,82,20.098039215686274,16.49666693164465,24.25723368372984,31
Punjabi,324,298,91.9753086419753,298,91.9753086419753,59,19.798657718120804,15.67123079114888,24.69481411757018,32
Swahili,516,475,92.05426356589147,475,92.05426356589147,94,19.789473684210527,16.455119516472482,23.608549843563164,33
Cebuano,468,431,92.09401709401709,431,92.09401709401709,83,19.25754060324826,15.812943164034346,23.245305624227548,34
Georgian,324,299,92.28395061728395,299,92.28395061728395,54,18.06020066889632,14.11384072818343,22.81685537142591,35
English,120,111,92.5,111,92.5,20,18.01801801801802,11.977587290242194,26.198050036992814,36
Burmese,336,309,91.96428571428571,309,91.96428571428571,55,17.79935275080906,13.937718616235323,22.451786550323387,37
Kannada,312,287,91.98717948717949,287,91.98717948717949,51,17.770034843205575,13.781973033950564,22.609488915752472,38
Spanish,228,209,91.66666666666667,209,91.66666666666667,37,17.70334928229665,13.125338906201497,23.447168749025014,39
Galician,264,243,92.04545454545455,243,92.04545454545455,43,17.695473251028808,13.410917758078627,22.985504159827407,40
Assamese,420,387,92.14285714285714,387,92.14285714285714,68,17.57105943152455,14.10335605293747,21.676230698847995,41
Urdu,312,286,91.66666666666667,286,91.66666666666667,50,17.482517482517483,13.519674620228239,22.307311361419753,42
Oriya (Odia),804,737,91.66666666666667,737,91.66666666666667,128,17.367706919945725,14.803751465230649,20.270076507939454,43
Hindi,276,254,92.02898550724638,254,92.02898550724638,42,16.53543307086614,12.472166853479772,21.59584502578131,44
Bosnian,360,330,91.66666666666667,330,91.66666666666667,54,16.363636363636363,12.763454290338993,20.737914657597468,45
Luxembourgish,456,419,91.8859649122807,419,91.8859649122807,67,15.990453460620525,12.792343155242975,19.806508245264038,46
Bengali,240,220,91.66666666666667,220,91.66666666666667,35,15.909090909090908,11.667017983374492,21.32126721174839,47
Italian,228,209,91.66666666666667,209,91.66666666666667,33,15.789473684210526,11.469392760861211,21.344448681341678,48
Sorani Kurdish,672,619,92.11309523809524,619,92.11309523809524,95,15.347334410339258,12.722287621717568,18.399831189660063,49
Persian,264,242,91.66666666666667,242,91.66666666666667,36,14.87603305785124,10.942882328032411,19.90686091076342,50
Icelandic,456,418,91.66666666666667,418,91.66666666666667,62,14.832535885167465,11.745994787513117,18.559575266717562,51
Dutch,276,253,91.66666666666667,253,91.66666666666667,37,14.624505928853756,10.799948205334209,19.5072534349729,52
Occitan,396,363,91.66666666666667,363,91.66666666666667,53,14.600550964187327,11.338837843824967,18.60364989292312,53
Armenian,180,165,91.66666666666667,165,91.66666666666667,24,14.545454545454545,9.973384617257558,20.730838849413978,54
Polish,204,187,91.66666666666667,187,91.66666666666667,27,14.438502673796792,10.116521859471257,20.192122382783932,55
German,264,243,92.04545454545455,243,92.04545454545455,35,14.40329218106996,10.54212716144289,19.37240144873383,56
Gujarati,312,288,92.3076923076923,288,92.3076923076923,41,14.23611111111111,10.670444822548452,18.743285210042515,57
Malayalam,276,254,92.02898550724638,254,92.02898550724638,36,14.173228346456693,10.416527135803436,18.99746205258195,58
Belarusian,360,332,92.22222222222223,332,92.22222222222223,47,14.156626506024097,10.81581076323493,18.317417505920403,59
Asturian,324,297,91.66666666666667,297,91.66666666666667,41,13.804713804713804,10.34165234741594,18.192133905713778,60
Macedonian,312,286,91.66666666666667,286,91.66666666666667,39,13.636363636363637,10.138249335358008,18.098380149495664,61
Azerbaijani,384,354,92.1875,354,92.1875,47,13.27683615819209,10.133281884728412,17.20884307282721,62
Khmer,564,519,92.02127659574468,519,92.02127659574468,68,13.102119460500964,10.46827322528927,16.27816328265645,63
Arabic,300,276,92.0,276,92.0,36,13.043478260869565,9.572468322763783,17.529112386650986,64
Malay,288,265,92.01388888888889,265,92.01388888888889,34,12.830188679245284,9.328576392523422,17.394035192696897,65
Afrikaans,311,288,92.60450160771704,288,92.60450160771704,36,12.5,9.167316756974813,16.819895316033197,66
Latvian,468,429,91.66666666666667,429,91.66666666666667,52,12.121212121212121,9.364390688513495,15.55038044143221,67
French,228,209,91.66666666666667,209,91.66666666666667,25,11.961722488038278,8.234870281163168,17.061638734992492,68
Romanian,204,187,91.66666666666667,187,91.66666666666667,22,11.764705882352942,7.898878457084035,17.16981422443846,69
Croatian,324,298,91.9753086419753,298,91.9753086419753,35,11.74496644295302,8.567272369501394,15.896384514876075,70
Marathi,324,299,92.28395061728395,299,92.28395061728395,35,11.705685618729097,8.53819451205383,15.844681963394025,71
Hebrew,300,276,92.0,276,92.0,32,11.594202898550725,8.333491298532628,15.909327870074879,72
Norwegian,348,321,92.24137931034483,321,92.24137931034483,37,11.526479750778817,8.479075763981266,15.48383189666344,73
Slovenian,360,330,91.66666666666667,330,91.66666666666667,38,11.515151515151516,8.505366664199185,15.410614023980374,74
Lithuanian,408,375,91.91176470588235,375,91.91176470588235,41,10.933333333333334,8.162258649855621,14.496681342591971,75
Bulgarian,348,321,92.24137931034483,321,92.24137931034483,34,10.59190031152648,7.67915691268703,14.436695873317465,76
Thai,168,154,91.66666666666667,154,91.66666666666667,16,10.38961038961039,6.496887857583979,16.210364779639537,77
Estonian,348,320,91.95402298850574,320,91.95402298850574,32,10.0,7.172807954679702,13.776164751825078,78
Filipino (Tagalog),312,288,92.3076923076923,288,92.3076923076923,28,9.722222222222221,6.812318764515914,13.692464573159357,79
Serbian,360,331,91.94444444444444,331,91.94444444444444,32,9.667673716012084,6.931471241763434,13.329299052223034,80
Slovak,360,333,92.5,333,92.5,32,9.60960960960961,6.889326568738651,13.251145170759182,81
Greek,324,299,92.28395061728395,299,92.28395061728395,28,9.364548494983278,6.558556658022504,13.201438903260588,82
Czech,312,286,91.66666666666667,286,91.66666666666667,26,9.090909090909092,6.279388289195005,12.986819881265376,83
Portuguese,240,220,91.66666666666667,220,91.66666666666667,20,9.090909090909092,5.962049253575119,13.623892980572341,84
Turkish,300,275,91.66666666666667,275,91.66666666666667,23,8.363636363636363,5.637616786837652,12.236862507413965,85
Russian,276,254,92.02898550724638,254,92.02898550724638,21,8.26771653543307,5.47100689354509,12.307925567651074,86
Chinese (Traditional),240,221,92.08333333333333,221,92.08333333333333,18,8.144796380090497,5.2138724552875475,12.505928434488197,87
Hungarian,276,253,91.66666666666667,253,91.66666666666667,20,7.905138339920948,5.17540361586353,11.894059788524261,88
Nepali,300,275,91.66666666666667,275,91.66666666666667,21,7.636363636363637,5.0486320973741465,11.391340284986672,89
Japanese,204,187,91.66666666666667,187,91.66666666666667,14,7.4866310160427805,4.511723060861856,12.173047123488336,90
Finnish,336,311,92.55952380952381,311,92.55952380952381,22,7.07395498392283,4.717625956318307,10.477786680852962,91
Indonesian,288,264,91.66666666666667,264,91.66666666666667,18,6.818181818181818,4.3560053197788955,10.519010294351961,92
Chinese (Simplified),264,243,92.04545454545455,243,92.04545454545455,16,6.584362139917696,4.09320380987282,10.426828194446761,93
Swedish,204,189,92.6470588235294,189,92.6470588235294,12,6.349206349206349,3.6689732951979264,10.768512809167934,94
Danish,408,376,92.15686274509804,376,92.15686274509804,23,6.117021276595745,4.110338003122044,9.011309901095283,95
Vietnamese,288,265,92.01388888888889,265,92.01388888888889,16,6.037735849056604,3.750263633671316,9.581556160015662,96
Ukrainian,288,266,92.36111111111111,266,92.36111111111111,16,6.015037593984962,3.736035835236478,9.546377837345343,97
Korean,228,209,91.66666666666667,209,91.66666666666667,12,5.741626794258373,3.3146149079547196,9.766228915874194,98
