language,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Hungarian,32k,138,138,23,115,83.33333333333333,23,16.666666666666668,115,83.33333333333333,0,0.0,106,92.17391304347827,0,0.0,9,7.826086956521739,106,92.17391304347827,9,7.826086956521739,4.171770774686453,14.206881791038214,0,32561.471014492752,32604.5,7.572057901517205,5.871095836162567,18.68714289069176,0
Hungarian,8k,138,138,23,138,100.0,0,0.0,138,100.0,1,0.7246376811594203,126,91.30434782608695,0,0.0,12,8.695652173913043,126,91.30434782608695,11,7.971014492753623,4.5089941366586475,13.709557079288063,1,8309.45652173913,8357.0,3.6506648793600607,3.9072893261909485,5.623238629102708,0
Icelandic,32k,228,228,38,190,83.33333333333333,38,16.666666666666668,190,83.33333333333333,1,0.5263157894736842,161,84.73684210526316,2,1.0526315789473684,27,14.210526315789474,163,85.78947368421052,26,13.68421052631579,9.512509997310232,19.295289510816772,1,32561.548245614034,32621.5,7.610660697284498,7.194649279117584,19.402569240331648,0
Icelandic,8k,228,228,38,228,100.0,0,0.0,228,100.0,4,1.7543859649122806,188,82.45614035087719,0,0.0,40,17.54385964912281,188,82.45614035087719,36,15.789473684210526,11.628469646342737,21.08416907085487,4,8309.811403508771,8352.0,3.580728752048392,3.8323529958724976,6.019732367992401,0
Igbo,32k,336,336,56,280,83.33333333333333,56,16.666666666666668,280,83.33333333333333,13,4.642857142857143,196,70.0,0,0.0,84,30.0,196,70.0,71,25.357142857142858,20.618467002005165,30.762842630011573,13,32562.440476190477,32638.0,7.253365892916918,8.53045403957367,18.620631873607635,0
Igbo,8k,336,336,56,336,100.0,0,0.0,336,100.0,6,1.7857142857142858,253,75.29761904761905,0,0.0,83,24.702380952380953,253,75.29761904761905,77,22.916666666666668,18.743790979882228,27.70182497540174,6,8310.220238095239,8354.5,3.6462579351805506,3.871045768260956,5.381402552127838,0
Indonesian,32k,144,144,24,120,83.33333333333333,24,16.666666666666668,120,83.33333333333333,0,0.0,109,90.83333333333333,4,3.3333333333333335,7,5.833333333333333,113,94.16666666666667,7,5.833333333333333,2.8541010000220295,11.552592033630113,0,32562.29861111111,32604.0,8.26504014722175,8.561011672019958,18.7070203602314,0
Indonesian,8k,144,144,24,144,100.0,0,0.0,144,100.0,0,0.0,132,91.66666666666667,1,0.6944444444444444,11,7.638888888888889,133,92.36111111111111,11,7.638888888888889,4.318732966175299,13.160436291776428,0,8309.013888888889,8336.5,3.4846922386851578,3.8078906536102295,5.155137193202969,0
Irish,32k,234,234,39,197,84.1880341880342,37,15.811965811965813,197,84.1880341880342,4,2.030456852791878,149,75.63451776649747,1,0.5076142131979695,47,23.85786802030457,150,76.14213197969544,43,21.82741116751269,16.628096473410817,28.104430041895057,4,32561.98717948718,32605.5,8.025494318996738,8.53195983171463,19.382098501920698,0
Irish,8k,234,234,39,234,100.0,0,0.0,234,100.0,4,1.7094017094017093,184,78.63247863247864,1,0.42735042735042733,49,20.94017094017094,185,79.05982905982906,45,19.23076923076923,14.694432730936999,24.761034489115712,4,8309.273504273504,8347.5,3.523462073670493,3.8147034645080566,5.802155578136444,0
Italian,32k,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,0,0.0,80,84.21052631578948,0,0.0,15,15.789473684210526,80,84.21052631578948,15,15.789473684210526,9.808516244102737,24.429605313861202,0,32557.78947368421,32604.0,8.021911819253052,8.456920564174652,19.23671008348465,0
Italian,8k,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,96,84.21052631578948,0,0.0,18,15.789473684210526,96,84.21052631578948,18,15.789473684210526,10.227261187561021,23.582112202254457,0,8307.692982456141,8330.5,3.5364939523370644,3.7060623168945312,5.987749671936035,0
Japanese,32k,102,102,17,85,83.33333333333333,17,16.666666666666668,85,83.33333333333333,2,2.3529411764705883,76,89.41176470588235,0,0.0,9,10.588235294117647,76,89.41176470588235,7,8.235294117647058,4.046372349916064,16.035984533375295,2,32562.62745098039,32604.5,7.612688331043019,8.491760432720184,18.549877882003784,0
Japanese,8k,102,102,17,102,100.0,0,0.0,102,100.0,2,1.9607843137254901,93,91.17647058823529,0,0.0,9,8.823529411764707,93,91.17647058823529,7,6.862745098039215,3.3638220876867138,13.492955038674816,2,8310.676470588236,8356.5,3.6445306013612186,3.8236319422721863,5.843129903078073,0
Javanese,32k,186,186,31,157,84.40860215053763,29,15.591397849462366,157,84.40860215053763,2,1.2738853503184713,122,77.70700636942675,0,0.0,35,22.29299363057325,122,77.70700636942675,33,21.019108280254777,15.376583581314337,28.04596389666726,2,32559.489247311827,32604.5,9.255203027558583,8.723394453525543,19.902601957321167,0
Javanese,8k,186,186,31,186,100.0,0,0.0,186,100.0,0,0.0,143,76.88172043010752,0,0.0,43,23.118279569892472,143,76.88172043010752,43,23.118279569892472,17.64050716134984,29.68395999076453,0,8309.322580645161,8353.5,3.4242537710615384,3.1888200640678406,5.613216042518616,0
Kannada,32k,156,156,26,131,83.97435897435898,25,16.025641025641026,131,83.97435897435898,3,2.2900763358778624,110,83.96946564885496,0,0.0,21,16.03053435114504,110,83.96946564885496,18,13.740458015267176,8.871481554312766,20.67540941612196,3,32572.32051282051,32639.5,7.851248635695531,5.866442501544952,19.437081277370453,0
Kannada,8k,156,156,26,156,100.0,0,0.0,156,100.0,1,0.6410256410256411,122,78.2051282051282,0,0.0,34,21.794871794871796,122,78.2051282051282,33,21.153846153846153,15.478028640713177,28.216178942214604,1,8322.23076923077,8362.5,3.4401931846753144,3.772994041442871,4.860762894153595,0
Kazakh,32k,186,186,31,156,83.87096774193549,30,16.129032258064516,156,83.87096774193549,2,1.2820512820512822,125,80.12820512820512,0,0.0,31,19.871794871794872,125,80.12820512820512,29,18.58974358974359,13.266698335879779,25.42254992108603,2,32560.370967741936,32635.0,7.8524344778189095,8.47988611459732,18.715986490249634,0
Kazakh,8k,186,186,31,186,100.0,0,0.0,186,100.0,1,0.5376344086021505,144,77.41935483870968,0,0.0,42,22.580645161290324,144,77.41935483870968,41,22.043010752688172,16.684860676009254,28.53258516218969,1,8310.36559139785,8336.0,3.501939286788305,3.7994009256362915,4.817340910434723,0
